NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
2382,2503000661,NEW MONITOR LENOVO D24-40 24 INCH 23.8 FHD VA PANEL 75HZ ANTI GLARE,KOSONG,,,,,"MONITOR 24""",LENOVO,,TIDAK
2383,2505000072,NEW MONITOR LENOVO G24-20 23.8 INCH FLAT IPS 144HZ,KOSONG,,,,,"MONITOR 24""",LENOVO,,TIDAK
2384,2505000073,NEW MONITOR LENOVO G27Q-30 27 INCH FLAT QHD 165HZ,READY,"Rp3.000.000,00","Rp3.280.000,00","Rp3.150.000,00",16/12/2025,"MONITOR 27""",LENOVO,1,TIDAK
2385,2511000123,"NEW MONITOR LENOVO L22-4E 22"" IPS FHD 100HZ",KOSONG,,,,,"MONITOR 22""",LENOVO,,TIDAK
2386,2506000033,NEW MONITOR LENOVO L24-4E 24 INCH FLAT IPS FHD (1920×1080) 100Hz 99% sRGB,READY,"Rp1.040.000,00","Rp1.220.000,00","Rp1.100.000,00",16/12/2025,"MONITOR 24""",LENOVO,1,TIDAK
2387,2503000660,NEW MONITOR LENOVO L24I-4A 24 INCH FHD 100HZ FLAT IPS 99% SRGB SPEAKER 3Y,KOSONG,,,,,"MONITOR 24""",LENOVO,,TIDAK
2388,2505000074,NEW MONITOR LENOVO LEGION  R25I-30 24.5 INCH IPS FHD 180HZ GAMING MONITOR,KOSONG,,,,,"MONITOR 25""",LENOVO,,TIDAK
2389,2511000124,"NEW MONITOR LENOVO LEGION GAMING 24-10 24"" FHD IPS 240HZ",READY,"Rp1.531.531,00","Rp1.899.000,00","Rp1.700.000,00",29/12/2025,"MONITOR 24""",LENOVO,3,TIDAK
2390,2511000125,"NEW MONITOR LENOVO LEGION GAMING 25-10 25"" FHD IPS 320HZ",READY,"Rp2.139.639,00","Rp2.545.000,00","Rp2.300.000,00",30/12/2025,"MONITOR 25""",LENOVO,2,TIDAK
2391,2511000126,"NEW MONITOR LENOVO LEGION GAMING 27-10 27"" FHD IPS 240HZ",KOSONG,,,,,"MONITOR 27""",LENOVO,,TIDAK
2392,2507000122,NEW MONITOR LENOVO LEGION GAMING CURVED 27 INCH R27FC-30 VA 1500R FHD 1080P 0.5MS 280HZ ERGONOMIC SPEAKER 3Y,KOSONG,,,,,"MONITOR 27""",LENOVO,,TIDAK
2393,2507000121,NEW MONITOR LENOVO LEGION GAMING CURVED 32 INCH R32QC-30 VA 1500R QHD 2K 1440P 0.5MS 180HZ SWIVEL HEIGHT SPEAKER 3Y,KOSONG,,,,,"MONITOR 32""",LENOVO,,TIDAK
2394,2505000075,NEW MONITOR LENOVO LEGION R27I-30 27 INCH IPS FHD 180HZ GAMING MONITOR,KOSONG,,,,,"MONITOR 27""",LENOVO,,TIDAK
2395,2505000076,NEW MONITOR LENOVO LEGION R27Q-30 27 INCH QHD 180HZ,KOSONG,,,,,"MONITOR 27""",LENOVO,,TIDAK
2396,2509000012,"NEW MONITOR LENOVO LEGION R27QC-30 27"" CURVED VA 180HZ",READY,"Rp2.671.000,00","Rp3.100.000,00","Rp2.850.000,00",16/12/2025,"MONITOR 27""",LENOVO,2,TIDAK
2397,2503000662,NEW MONITOR LENOVO LEGION R34W-30 34 INCH VA CURVED WQHD 180HZ LCD MONITOR GAMING (G243403R0),READY,"Rp3.560.000,00","Rp4.150.000,00","Rp3.850.000,00",16/12/2025,"MONITOR 34""",LENOVO,1,TIDAK
2398,2504000498,NEW MONITOR LENOVO ThinkVision T24t-20 23.8 inch Monitor ( Touch screen ),KOSONG,,,,,"MONITOR 24""",LENOVO,,TIDAK
2399,2507000110,NEW MONITOR LG 22MR410 22″ FLAT VA FHD (1920×1080) 100hz 99% sRGB,KOSONG,,,,,"MONITOR 22""",LG,,TIDAK
2400,2509000036,NEW MONITOR LG 22U401A-B 22″ Full HD 100Hz WITH sRGB 99%,KOSONG,,,,,"MONITOR 22""",LG,,TIDAK
2401,2504000497,NEW MONITOR LG 32MR50C-B CURVED  31.5 INCH FULL HD WITH AMD FREESYNC,KOSONG,"Rp2.175.000,00","Rp2.240.000,00","Rp2.200.000,00",16/12/2025,"MONITOR 32""",LG,,TIDAK
2402,2510000268,"NEW MONITOR LG GAMING 27G610A-B.ATIQ 27"" QHD IPS 200HZ BLACK",READY,"Rp2.378.406,00","Rp2.975.000,00","Rp2.650.000,00",16/12/2025,"MONITOR 27""",LG,9,TIDAK
2403,2506000345,NEW MONITOR LG GAMING LG27GS50F 27 INCH FHD (1920x1080) 180HZ AMD FREESYNC,KOSONG,"Rp1.870.000,00","Rp2.000.000,00","Rp1.950.000,00",16/12/2025,"MONITOR 27""",LG,,TIDAK
2404,2506000344,NEW MONITOR LG GAMING ULTRAGEAR LG24GS-50F 24 INCH VA FHD 180HZ,READY,"Rp1.243.243,00","Rp1.790.000,00","Rp1.450.000,00",16/12/2025,"MONITOR 24""",LG,18,TIDAK
2405,2504000260,NEW MONITOR MSI G273CQ 27INCH QHD CURVED,KOSONG,,,,,"MONITOR 27""",MSI,,TIDAK
2406,2504000140,NEW MONITOR MSI MAG 244C 24 INCH CURVED VA FHD 180HZ,READY,"Rp1.351.351,00","Rp1.500.000,00","Rp1.430.000,00",30/12/2025,"MONITOR 24""",MSI,7,TIDAK
2407,2505000136,NEW MONITOR MSI MAG 255F E20 24.5 INCH FLAT RAPID IPS 200HZ,KOSONG,,,,,"MONITOR 24""",MSI,,TIDAK
2408,2507000084,"NEW MONITOR MSI MAG 274F 27"" FLAT IPS 200HZ",READY,"Rp1.666.666,00","Rp1.930.000,00","Rp1.800.000,00",16/12/2025,"MONITOR 27""",MSI,18,TIDAK
2409,2507000214,NEW MONITOR MSI MAG 274QF X24 27 INCH FLAT WQHD RAPID IPS 240HZ,KOSONG,,,,,"MONITOR 27""",MSI,,TIDAK
2410,2508000278,"NEW MONITOR MSI MAG 32CQ6PF CURVED RAPID VA 180HZ 32"" WQHD",KOSONG,,,,,"MONITOR 32""",MSI,,TIDAK
2411,2507000085,"NEW MONITOR MSI MAG 345CQR 34"" CURVE VA 180HZ",KOSONG,,,,,"MONITOR 34""",MSI,,TIDAK
2412,2508000140,"NEW MONITOR MSI MODERN MD241PW 24"" FLAT IPS 75HZ - WHITE",KOSONG,,,,,"MONITOR 24""",MSI,,TIDAK
2413,2508000193,"NEW MONITOR MSI MPG 274URDFW E16M FLAT RAPID IPS 27"" 4K UHD",KOSONG,,,,,"MONITOR 27""",MSI,,TIDAK
2414,2508000195,"NEW MONITOR MSI PRO MP161 E2 PORTABLE IPS PANEL 15.6"" FULL HD",READY,"Rp1.639.639,00","Rp1.900.000,00","Rp1.750.000,00",16/12/2025,"MONITOR PORTABLE 15.6""",MSI,9,TIDAK
2415,2510000205,"NEW MONITOR MSI PRO MP225V 22"" FLAT VA FHD 100HZ",KOSONG,"Rp878.378,00","Rp1.050.000,00","Rp950.000,00",16/12/2025,"MONITOR 22""",MSI,,TIDAK
2416,2507000083,"NEW MONITOR MSI PRO MP251L E2 24.5"" FLAT IPS 120HZ",READY,"Rp932.433,00","Rp1.150.000,00","Rp1.000.000,00",16/12/2025,"MONITOR 25""",MSI,3,TIDAK
2417,2504000143,NEW MONITOR MSI PRO MP251P 25 INCH FLAT IPS 1080P FHD 100HZ,KOSONG,,,,,"MONITOR 25""",MSI,,TIDAK
2418,2504000141,NEW MONITOR MSI PRO MP273A 27 INCH FLAT IPS FHD 100HZ,READY,"Rp1.351.351,00","Rp1.820.000,00","Rp1.500.000,00",16/12/2025,"MONITOR 27""",MSI,4,TIDAK
2419,2504000142,NEW MONITOR MSI PRO MP273AW FLAT IPS FHD 100HZ,READY,"Rp1.412.612,00","Rp1.850.000,00","Rp1.550.000,00",16/12/2025,"MONITOR 27""",MSI,1,TIDAK
